Timestamp,Detected_Ships,Status_Note
2026-03-10_22-14-57,2,WARNING: 2 dark/escorted vessel(s) in choke point.
2026-03-15_18-17-38,3,WARNING: 3 dark/escorted vessel(s) in choke point.
2026-03-15_18-23-02,3,WARNING: 3 dark/escorted vessel(s) in choke point.
2026-03-15_18-49-28,3,WARNING: 3 dark/escorted vessel(s) in choke point.
2026-03-15_18-51-24,3,WARNING: 3 dark/escorted vessel(s) in choke point.
2026-03-15_18-53-18,3,WARNING: 3 dark/escorted vessel(s) in choke point.
2026-03-15_18-55-11,3,WARNING: 3 dark/escorted vessel(s) in choke point.
2026-03-15_18-57-04,2,WARNING: 2 dark/escorted vessel(s) in choke point.
2026-03-15_18-59-06,1,WARNING: 1 dark/escorted vessel(s) in choke point.
2026-03-15_19-01-01,1,WARNING: 1 dark/escorted vessel(s) in choke point.
2026-03-15_19-02-55,1,WARNING: 1 dark/escorted vessel(s) in choke point.
2026-03-15_19-04-47,1,WARNING: 1 dark/escorted vessel(s) in choke point.
2026-03-15_19-06-40,1,WARNING: 1 dark/escorted vessel(s) in choke point.
2026-03-15_19-08-32,1,WARNING: 1 dark/escorted vessel(s) in choke point.
2026-03-15_19-10-25,1,WARNING: 1 dark/escorted vessel(s) in choke point.
2026-03-15_19-12-17,1,WARNING: 1 dark/escorted vessel(s) in choke point.
2026-03-15_19-14-10,1,WARNING: 1 dark/escorted vessel(s) in choke point.
2026-03-15_19-16-02,0,Active Blockade / Clear Zone
2026-03-15_19-17-54,1,WARNING: 1 dark/escorted vessel(s) in choke point.
2026-03-15_19-19-47,1,WARNING: 1 dark/escorted vessel(s) in choke point.
2026-03-15_19-21-40,1,WARNING: 1 dark/escorted vessel(s) in choke point.
2026-03-15_19-23-32,1,WARNING: 1 dark/escorted vessel(s) in choke point.
2026-03-15_19-25-26,1,WARNING: 1 dark/escorted vessel(s) in choke point.
2026-03-15_19-56-31,0,Active Blockade / Clear Zone
2026-03-15_20-01-49,0,Active Blockade / Clear Zone
2026-03-15_20-07-02,0,Active Blockade / Clear Zone
2026-03-15_20-12-14,0,Active Blockade / Clear Zone
2026-03-15_20-17-27,0,Active Blockade / Clear Zone
2026-03-16_21-26-39,1,WARNING: 1 dark/escorted vessel(s) in choke point.
2026-03-16_21-31-58,1,WARNING: 1 dark/escorted vessel(s) in choke point.
2026-03-16_21-37-12,1,WARNING: 1 dark/escorted vessel(s) in choke point.
2026-03-16_21-42-24,1,WARNING: 1 dark/escorted vessel(s) in choke point.
2026-03-16_21-47-37,1,WARNING: 1 dark/escorted vessel(s) in choke point.
2026-03-16_22-01-27,1,WARNING: 1 dark/escorted vessel(s) in choke point.
2026-03-16_22-03-38,1,WARNING: 1 dark/escorted vessel(s) in choke point.
2026-03-17_16-06-40,0,Active Blockade / Clear Zone
2026-03-17_16-09-58,0,Active Blockade / Clear Zone
2026-04-11_01-42-56,0,Active Blockade / Clear Zone
2026-04-11_01-44-15,0,Active Blockade / Clear Zone
2026-04-11_01-45-33,0,Active Blockade / Clear Zone
2026-04-11_14-39-29,0,Active Blockade / Clear Zone
2026-04-11_16-47-23,0,Active Blockade / Clear Zone
2026-04-11_18-51-53,0,Active Blockade / Clear Zone
2026-04-11_22-28-24,0,Active Blockade / Clear Zone
2026-04-12_02-08-27,0,Active Blockade / Clear Zone
2026-04-12_05-52-59,0,Active Blockade / Clear Zone
2026-04-12_07-09-39,0,Active Blockade / Clear Zone
2026-04-12_08-42-58,0,Active Blockade / Clear Zone
2026-04-12_10-35-51,0,Active Blockade / Clear Zone
2026-04-12_12-54-09,0,Active Blockade / Clear Zone
2026-04-12_14-38-25,0,Active Blockade / Clear Zone
2026-04-12_16-34-24,0,Active Blockade / Clear Zone
2026-04-12_18-41-30,0,Active Blockade / Clear Zone
2026-04-12_20-31-25,0,Active Blockade / Clear Zone
2026-04-12_22-30-06,0,Active Blockade / Clear Zone
2026-04-13_02-13-05,0,Active Blockade / Clear Zone
2026-04-13_06-12-29,0,Active Blockade / Clear Zone
2026-04-13_09-52-16,0,Active Blockade / Clear Zone
2026-04-13_11-15-48,0,Active Blockade / Clear Zone
2026-04-13_13-18-07,0,Active Blockade / Clear Zone
2026-04-13_15-14-14,0,Active Blockade / Clear Zone
2026-04-13_17-00-29,0,Active Blockade / Clear Zone
2026-04-13_19-09-53,0,Active Blockade / Clear Zone
2026-04-13_20-50-55,0,Active Blockade / Clear Zone
2026-04-13_22-40-35,0,Active Blockade / Clear Zone
2026-04-14_02-07-32,0,Active Blockade / Clear Zone
2026-04-14_05-59-18,0,Active Blockade / Clear Zone
2026-04-14_07-54-38,0,Active Blockade / Clear Zone
2026-04-14_09-14-47,0,Active Blockade / Clear Zone
2026-04-14_10-59-53,0,Active Blockade / Clear Zone
2026-04-14_13-18-16,0,Active Blockade / Clear Zone
